visit_date,district,facility_type,total_visits,fever_cases,cough_cases,respiratory_cases,admission_count,icu_admissions,age_group,daily_growth_rate,7_day_moving_average,case_spike_flag
2023-06-29,Jaipur,Hospital,226,93,79,21,25,3,0-18,3.43,97,1
2023-07-20,Pali,Hospital,280,45,80,19,4,0,51-65,0.88,40,1
2023-09-11,Sikar,Clinic,54,6,4,13,0,0,65+,-0.92,7,0
2023-02-28,Jaipur,Clinic,36,7,8,5,1,0,65+,-0.92,8,0
2023-08-25,Bikaner,Hospital,90,41,33,26,9,0,51-65,3.56,40,1
2023-12-18,Ajmer,Clinic,224,90,57,66,28,6,0-18,-0.29,91,0
2023-02-24,Pali,Clinic,40,12,8,10,3,0,65+,-0.73,8,0
2023-01-22,Alwar,Clinic,288,123,38,17,45,5,0-18,0.34,121,1
2023-12-05,Bharatpur,Hospital,199,81,17,54,12,0,0-18,0.08,77,0
2023-07-22,Jodhpur,Hospital,44,12,7,9,0,0,65+,-0.25,8,0
2023-10-04,Bikaner,Clinic,106,32,17,16,5,0,36-50,-0.22,32,0
2023-06-07,Udaipur,Clinic,171,24,3,15,1,0,65+,-0.66,23,0
2023-01-16,Alwar,Hospital,44,18,8,10,5,0,65+,-0.85,19,0
2023-07-03,Bharatpur,Clinic,43,15,10,10,1,0,36-50,-0.81,18,0
2023-09-30,Sikar,Hospital,214,64,12,36,22,0,51-65,9.67,60,1
2023-09-11,Sikar,Hospital,270,40,47,74,9,0,36-50,-0.38,41,0
2023-03-05,Pali,Hospital,177,70,6,46,16,3,0-18,4.83,70,1
2023-12-22,Bikaner,Hospital,190,32,48,29,5,0,0-18,0.0,28,0
2023-11-25,Bharatpur,Hospital,144,19,15,42,6,0,0-18,0.27,22,1
2023-03-20,Kota,Hospital,240,76,17,7,5,0,65+,3.75,72,1
2023-04-29,Pali,Hospital,182,44,36,33,12,1,0-18,-0.37,44,0
2023-03-29,Bikaner,Clinic,120,25,21,19,7,1,65+,-0.22,23,0
2023-09-13,Udaipur,Clinic,93,7,13,26,1,0,36-50,-0.71,4,0
2023-01-04,Sikar,Hospital,74,27,16,10,2,0,51-65,-0.33,23,0
2023-06-10,Bikaner,Hospital,236,108,4,53,24,3,65+,3.32,107,1
2023-09-04,Jaipur,Hospital,81,28,20,17,10,0,65+,3.0,27,1
2023-06-26,Sikar,Clinic,98,24,11,18,0,0,51-65,-0.11,21,0
2023-06-16,Sikar,Hospital,251,111,4,11,9,1,65+,3.62,111,1
2023-01-13,Bikaner,Hospital,119,43,41,7,0,0,0-18,-0.6,40,0
2023-03-19,Sikar,Clinic,189,69,10,21,5,0,36-50,-0.38,70,0
2023-06-09,Jodhpur,Clinic,267,9,79,67,0,0,19-35,-0.25,5,0
2023-06-26,Jodhpur,Clinic,74,24,9,7,1,0,0-18,1.67,20,1
2023-11-27,Sikar,Clinic,229,63,29,54,14,3,65+,-0.09,61,0
2023-09-14,Jodhpur,Hospital,54,5,14,11,1,0,0-18,-0.79,8,0
2023-07-16,Bikaner,Clinic,250,35,52,12,3,0,65+,-0.19,37,0
2023-06-04,Jaipur,Clinic,186,66,34,13,2,0,19-35,1.36,70,1
2023-11-05,Kota,Clinic,112,55,11,29,13,1,36-50,-0.28,54,0
2023-07-21,Pali,Hospital,123,48,35,6,17,1,0-18,0.09,49,0
2023-10-14,Jaipur,Hospital,195,79,20,38,8,0,36-50,0.2,74,0
2023-06-04,Sikar,Clinic,161,71,54,24,0,0,0-18,0.13,66,0
2023-03-25,Jodhpur,Hospital,225,54,48,27,4,0,36-50,9.8,51,1
2023-03-22,Jaipur,Hospital,202,7,68,27,0,0,0-18,-0.91,5,0
2023-07-21,Kota,Clinic,268,122,61,57,45,3,65+,1.22,125,1
2023-02-10,Ajmer,Hospital,236,106,62,53,20,1,19-35,0.18,102,0
2023-09-04,Udaipur,Clinic,73,16,27,5,5,0,65+,1.29,16,1
2023-11-07,Udaipur,Clinic,243,5,59,43,1,0,36-50,-0.69,9,0
2023-12-01,Bharatpur,Clinic,79,35,15,22,8,0,0-18,0.84,37,1
2023-02-22,Bikaner,Hospital,200,23,10,47,7,1,19-35,-0.34,25,0
2023-10-10,Sikar,Clinic,293,6,93,39,1,0,36-50,-0.92,4,0
2023-01-18,Bikaner,Hospital,145,33,23,33,1,0,19-35,0.43,33,1
2023-03-02,Alwar,Hospital,200,30,22,11,6,0,65+,0.67,33,1
2023-10-18,Sikar,Hospital,35,7,3,3,1,0,65+,0.17,3,0
2023-01-10,Kota,Clinic,189,92,68,36,35,1,65+,-0.25,90,0
2023-08-07,Jaipur,Hospital,134,60,30,3,18,4,51-65,7.57,62,1
2023-05-03,Ajmer,Hospital,31,13,5,7,1,0,0-18,-0.88,14,0
2023-01-16,Bharatpur,Clinic,251,7,37,28,1,0,65+,-0.8,11,0
2023-10-06,Udaipur,Hospital,96,33,31,23,11,0,0-18,5.6,30,1
2023-08-15,Bharatpur,Clinic,87,26,21,16,9,1,19-35,2.71,23,1
2023-09-09,Bharatpur,Clinic,281,52,53,25,7,0,36-50,1.0,50,1
2023-06-16,Kota,Hospital,236,109,46,48,24,0,19-35,0.18,112,0
2023-08-09,Jodhpur,Hospital,292,93,22,8,5,0,51-65,0.72,93,1
2023-01-02,Jodhpur,Clinic,68,19,9,9,5,0,65+,-0.8,19,0
2023-12-13,Udaipur,Clinic,196,64,8,6,3,0,65+,0.94,59,1
2023-07-24,Ajmer,Hospital,123,33,13,21,10,0,36-50,1.54,36,1
2023-07-14,Sikar,Clinic,125,49,3,33,6,0,51-65,6.0,52,1
2023-11-25,Bikaner,Clinic,74,30,6,18,11,2,0-18,-0.09,34,0
2023-08-06,Ajmer,Clinic,85,18,17,6,1,0,19-35,-0.45,21,0
2023-03-31,Bikaner,Hospital,284,116,54,41,34,8,65+,2.87,116,1
2023-11-01,Ajmer,Hospital,157,20,44,7,6,0,19-35,0.11,16,0
2023-10-24,Bharatpur,Hospital,165,68,56,14,2,0,65+,0.31,66,1
2023-02-28,Jodhpur,Hospital,121,35,40,18,3,0,36-50,0.84,34,1
2023-02-08,Kota,Clinic,251,18,41,23,0,0,65+,-0.83,19,0
2023-02-19,Alwar,Clinic,61,11,21,4,1,0,36-50,-0.63,13,0
2023-01-13,Sikar,Clinic,136,47,23,26,10,1,19-35,-0.04,48,0
2023-05-24,Sikar,Hospital,96,44,11,26,0,0,0-18,-0.06,46,0
2023-08-22,Jodhpur,Hospital,192,9,8,11,2,0,19-35,-0.74,9,0
2023-04-06,Sikar,Hospital,49,21,13,8,0,0,65+,-0.52,23,0
2023-10-05,Ajmer,Hospital,278,104,39,11,20,4,36-50,4.2,103,1
2023-03-31,Sikar,Clinic,171,58,3,5,11,0,0-18,1.76,56,1
2023-11-24,Ajmer,Hospital,233,52,54,33,14,1,19-35,-0.5,47,0
2023-04-04,Bikaner,Clinic,207,81,6,46,23,3,0-18,-0.3,84,0
2023-09-04,Jaipur,Hospital,145,48,36,23,4,0,19-35,-0.2,48,0
2023-05-28,Ajmer,Hospital,105,28,15,8,7,0,36-50,-0.46,25,0
2023-05-27,Udaipur,Clinic,218,18,3,19,1,0,0-18,-0.72,21,0
2023-08-22,Sikar,Hospital,228,53,9,25,6,0,19-35,-0.09,57,0
2023-03-08,Alwar,Clinic,229,88,72,40,18,2,19-35,7.0,86,1
2023-01-30,Jodhpur,Clinic,274,64,9,12,2,0,0-18,6.11,60,1
2023-10-06,Jaipur,Hospital,145,6,56,5,1,0,19-35,-0.88,10,0
2023-06-21,Kota,Clinic,98,42,21,27,5,0,65+,1.33,41,1
2023-03-25,Ajmer,Hospital,177,82,10,41,7,1,51-65,1.93,78,1
2023-05-31,Bikaner,Hospital,99,30,24,4,4,0,36-50,-0.63,34,0
2023-12-24,Udaipur,Clinic,206,12,69,46,2,0,65+,-0.33,9,0
2023-12-02,Jodhpur,Hospital,169,35,63,20,0,0,65+,-0.45,36,0
2023-09-23,Alwar,Hospital,218,72,33,38,4,0,51-65,-0.18,73,0
2023-02-10,Sikar,Clinic,207,89,45,60,24,4,19-35,0.68,86,1
2023-04-08,Udaipur,Hospital,221,68,5,61,21,4,36-50,4.67,67,1
2023-05-30,Pali,Hospital,158,78,34,45,22,3,51-65,0.62,74,1
2023-05-30,Bikaner,Hospital,31,12,10,4,0,0,36-50,-0.6,13,0
2023-08-07,Alwar,Clinic,298,146,76,72,46,10,65+,1.03,146,1
2023-12-22,Pali,Clinic,211,47,5,62,16,0,19-35,-0.4,48,0
2023-11-04,Ajmer,Hospital,188,19,51,26,4,0,0-18,-0.77,14,0
2023-11-21,Udaipur,Clinic,97,37,5,7,9,1,0-18,-0.46,32,0
2023-07-03,Jodhpur,Clinic,157,36,38,23,12,2,0-18,0.03,34,0
2023-11-05,Ajmer,Clinic,127,10,34,16,1,0,65+,-0.47,12,0
2023-12-07,Jodhpur,Hospital,111,54,31,7,12,1,51-65,0.5,57,1
2023-01-25,Udaipur,Hospital,178,21,59,45,0,0,19-35,-0.43,16,0
2023-04-16,Pali,Clinic,68,25,19,6,7,0,19-35,-0.47,20,0
2023-10-01,Kota,Hospital,235,94,33,66,30,6,19-35,1.24,97,1
2023-04-04,Udaipur,Hospital,109,17,27,14,4,0,51-65,-0.19,14,0
2023-12-15,Bikaner,Hospital,136,8,41,3,0,0,51-65,-0.33,7,0
2023-11-19,Bikaner,Hospital,251,97,78,43,23,4,36-50,11.12,96,1
2023-06-16,Sikar,Clinic,116,11,38,29,1,0,0-18,-0.88,14,0
2023-03-19,Kota,Clinic,292,65,86,74,21,3,0-18,-0.31,64,0
2023-01-17,Sikar,Hospital,289,63,103,34,1,0,36-50,4.73,58,1
2023-04-10,Jodhpur,Hospital,133,64,6,22,12,1,19-35,0.19,68,0
2023-04-24,Sikar,Clinic,295,142,78,23,19,4,51-65,1.25,140,1
2023-05-25,Bharatpur,Hospital,171,35,16,13,5,0,0-18,-0.49,34,0
2023-07-16,Bikaner,Hospital,94,42,18,23,0,0,36-50,-0.57,43,0
2023-03-30,Sikar,Clinic,105,6,3,12,1,0,19-35,-0.96,9,0
2023-08-12,Kota,Clinic,143,46,42,14,7,0,0-18,-0.29,41,0
2023-05-20,Bikaner,Clinic,153,56,36,16,19,3,36-50,0.33,52,1
2023-01-26,Kota,Hospital,230,107,80,31,13,2,36-50,1.33,107,1
2023-05-27,Alwar,Clinic,188,56,23,55,0,0,36-50,-0.62,54,0
2023-09-19,Ajmer,Clinic,35,8,9,9,0,0,65+,-0.2,4,0
2023-05-09,Pali,Clinic,96,18,37,2,6,0,65+,-0.28,19,0
2023-05-20,Sikar,Hospital,242,111,10,65,43,6,65+,17.5,111,1
2023-03-21,Jodhpur,Clinic,70,25,23,12,7,0,36-50,-0.61,25,0
2023-05-16,Kota,Clinic,31,13,11,7,3,0,19-35,-0.88,9,0
2023-09-08,Udaipur,Clinic,195,19,7,5,6,0,0-18,0.12,15,0
2023-08-15,Ajmer,Hospital,218,60,17,30,1,0,36-50,6.5,60,1
2023-06-05,Sikar,Hospital,34,12,7,9,1,0,36-50,-0.89,11,0
2023-03-27,Pali,Clinic,125,45,8,30,8,0,0-18,1.5,41,1
2023-04-28,Udaipur,Hospital,252,67,98,53,11,1,51-65,2.53,64,1
2023-07-27,Jodhpur,Hospital,229,19,87,5,2,0,0-18,-0.24,18,0
2023-04-25,Ajmer,Hospital,234,100,38,47,33,5,0-18,0.67,104,1
2023-05-14,Jaipur,Clinic,233,40,27,45,6,0,51-65,5.67,41,1
2023-09-16,Alwar,Hospital,291,10,13,83,0,0,51-65,-0.82,10,0
2023-05-16,Ajmer,Hospital,292,39,115,34,2,0,0-18,-0.61,41,0
2023-03-23,Ajmer,Hospital,237,83,16,59,28,5,51-65,1.13,86,1
2023-03-02,Ajmer,Clinic,208,55,64,32,5,0,0-18,-0.34,55,0
2023-10-09,Ajmer,Clinic,192,68,43,33,24,6,19-35,0.24,66,0
2023-04-13,Ajmer,Clinic,144,53,23,26,15,3,19-35,-0.22,55,0
2023-12-27,Sikar,Hospital,211,70,55,5,0,0,0-18,4.83,67,1
2023-06-25,Alwar,Hospital,280,98,30,83,10,1,0-18,8.8,94,1
2023-04-04,Ajmer,Clinic,274,43,58,40,12,2,36-50,-0.19,47,0
2023-09-24,Bikaner,Hospital,85,36,27,20,1,0,51-65,-0.36,34,0
2023-10-08,Pali,Clinic,292,43,51,25,16,1,51-65,-0.04,46,0
2023-02-02,Jodhpur,Clinic,97,18,8,5,2,0,51-65,-0.05,22,0
2023-07-10,Jodhpur,Hospital,187,92,53,10,11,1,51-65,4.11,91,1
2023-10-23,Bikaner,Hospital,80,29,30,18,1,0,36-50,-0.19,27,0
2023-01-07,Kota,Hospital,192,25,15,55,0,0,0-18,0.92,27,1
2023-10-22,Bikaner,Clinic,258,112,74,43,35,2,19-35,2.86,108,1
2023-07-13,Sikar,Clinic,234,46,69,48,12,1,0-18,-0.34,45,0
2023-01-05,Bikaner,Clinic,193,89,24,8,30,1,65+,-0.21,91,0
2023-01-03,Jodhpur,Hospital,208,69,6,16,22,3,19-35,-0.25,71,0
2023-09-20,Alwar,Hospital,214,26,15,51,2,0,19-35,-0.73,29,0
2023-02-28,Bharatpur,Hospital,30,12,5,3,0,0,51-65,-0.66,8,0
2023-07-05,Udaipur,Clinic,272,113,4,57,40,8,19-35,0.69,112,1
2023-11-07,Jodhpur,Hospital,184,72,47,16,19,1,51-65,0.04,69,0
2023-03-23,Kota,Hospital,207,23,64,33,0,0,36-50,-0.08,22,0
2023-12-25,Pali,Hospital,179,74,30,46,9,1,19-35,0.72,76,1
2023-07-12,Pali,Hospital,188,80,46,42,11,1,65+,0.08,75,0
2023-11-01,Bikaner,Hospital,132,38,36,14,5,0,36-50,-0.57,35,0
2023-06-15,Ajmer,Clinic,47,7,10,9,1,0,51-65,-0.84,8,0
2023-12-29,Sikar,Hospital,293,23,68,73,4,0,19-35,-0.5,25,0
2023-04-03,Alwar,Hospital,81,29,18,12,7,0,19-35,0.12,26,0
2023-10-06,Ajmer,Clinic,59,26,13,6,3,0,19-35,2.71,23,1
2023-08-18,Bharatpur,Clinic,284,5,62,84,0,0,36-50,-0.58,6,0
2023-01-01,Ajmer,Clinic,103,17,20,2,1,0,65+,-0.35,20,0
2023-07-28,Kota,Hospital,48,19,9,13,1,0,36-50,-0.17,19,0
2023-07-22,Ajmer,Clinic,36,17,12,3,0,0,51-65,0.0,17,0
2023-12-26,Pali,Clinic,79,30,10,14,10,0,51-65,-0.62,33,0
2023-11-04,Ajmer,Hospital,79,15,28,22,0,0,51-65,-0.12,12,0
2023-08-24,Kota,Clinic,175,31,31,5,9,1,51-65,0.63,31,1
2023-03-15,Ajmer,Hospital,126,26,10,19,4,0,0-18,0.73,28,1
2023-11-08,Alwar,Clinic,137,58,22,13,1,0,36-50,1.0,59,1
2023-06-26,Udaipur,Hospital,61,8,11,7,0,0,36-50,-0.93,8,0
2023-09-04,Udaipur,Hospital,148,5,17,23,0,0,0-18,-0.38,7,0
2023-09-16,Udaipur,Clinic,220,9,16,9,1,0,65+,0.8,8,1
2023-11-21,Bharatpur,Hospital,116,31,27,9,6,0,65+,5.2,29,1
2023-04-05,Jaipur,Hospital,129,19,4,25,1,0,65+,-0.53,20,0
2023-08-12,Jaipur,Clinic,46,6,12,7,1,0,51-65,-0.68,9,0
2023-04-04,Bharatpur,Hospital,56,16,6,2,0,0,51-65,-0.48,16,0
2023-10-06,Kota,Hospital,262,20,59,9,4,0,19-35,-0.35,23,0
2023-11-25,Kota,Hospital,128,26,32,29,4,0,51-65,0.3,21,1
2023-01-10,Alwar,Hospital,134,39,6,17,11,1,0-18,-0.33,37,0
2023-11-15,Alwar,Clinic,201,21,9,57,2,0,65+,-0.46,18,0
2023-12-03,Jaipur,Hospital,120,12,30,8,2,0,36-50,1.0,11,1
2023-04-28,Bikaner,Hospital,280,51,88,83,13,2,0-18,0.34,46,1
2023-01-26,Sikar,Hospital,276,77,55,72,29,7,51-65,2.35,75,1
2023-06-28,Alwar,Clinic,95,46,25,20,3,0,19-35,1.19,48,1
2023-01-03,Udaipur,Hospital,138,68,54,4,11,1,36-50,6.56,71,1
2023-11-07,Jaipur,Hospital,176,42,61,48,15,2,19-35,2.5,41,1
2023-06-26,Bikaner,Hospital,105,48,15,6,5,0,65+,-0.06,48,0
2023-09-12,Jaipur,Hospital,152,56,53,19,1,0,0-18,0.33,60,1
2023-11-20,Sikar,Clinic,251,34,24,15,7,0,51-65,-0.56,38,0
2023-03-05,Jaipur,Hospital,175,32,68,7,8,1,0-18,-0.43,28,0
2023-05-31,Udaipur,Clinic,126,56,40,28,0,0,19-35,-0.18,58,0
2023-04-06,Bharatpur,Hospital,37,8,3,8,2,0,19-35,-0.5,10,0
2023-07-26,Kota,Clinic,169,66,11,23,16,0,51-65,1.54,63,1
2023-06-03,Alwar,Clinic,162,53,34,27,10,0,36-50,0.15,57,0
2023-04-14,Bikaner,Hospital,148,27,17,4,8,1,19-35,-0.44,27,0
2023-03-08,Bharatpur,Clinic,250,94,91,15,7,1,51-65,10.75,89,1
2023-10-13,Bharatpur,Clinic,265,19,58,60,5,0,19-35,-0.8,17,0
2023-01-30,Kota,Clinic,187,57,63,20,9,0,65+,-0.14,56,0
2023-10-10,Jodhpur,Hospital,194,28,18,45,3,0,36-50,-0.61,26,0
2023-06-16,Bikaner,Clinic,117,42,41,9,1,0,36-50,0.56,43,1
2023-03-07,Pali,Hospital,201,43,7,43,15,2,65+,0.43,46,1
2023-05-26,Jaipur,Hospital,34,12,11,3,0,0,0-18,-0.62,12,0
2023-08-18,Alwar,Hospital,139,65,42,8,2,0,0-18,0.23,66,0
2023-05-05,Ajmer,Clinic,234,87,7,9,16,2,65+,2.35,82,1
2023-12-23,Alwar,Clinic,272,55,32,50,15,3,0-18,-0.15,55,0
2023-07-21,Ajmer,Hospital,92,44,15,18,12,2,0-18,-0.49,47,0
2023-02-17,Bharatpur,Clinic,281,26,5,13,3,0,0-18,0.37,22,1
2023-05-13,Jodhpur,Hospital,217,34,48,45,11,1,51-65,0.21,34,0
2023-11-26,Ajmer,Clinic,293,60,77,18,15,3,65+,0.36,55,1
2023-09-21,Jaipur,Clinic,102,39,29,22,14,2,36-50,2.25,41,1
2023-01-29,Jodhpur,Clinic,299,130,45,12,33,0,0-18,2.82,129,1
2023-06-07,Ajmer,Clinic,213,40,45,53,1,0,19-35,-0.33,38,0
2023-07-23,Sikar,Clinic,75,32,22,12,6,0,65+,-0.06,31,0
2023-10-09,Jodhpur,Clinic,132,19,51,4,2,0,36-50,-0.85,15,0
2023-03-09,Udaipur,Clinic,49,14,11,2,1,0,0-18,-0.75,9,0
2023-04-16,Jaipur,Hospital,191,47,37,13,7,0,0-18,0.21,44,0
2023-10-11,Udaipur,Clinic,227,63,43,11,15,3,65+,3.5,62,1
2023-01-30,Alwar,Hospital,126,33,19,24,3,0,65+,-0.4,30,0
2023-04-01,Ajmer,Clinic,93,30,15,2,3,0,36-50,-0.25,34,0
2023-12-19,Udaipur,Hospital,171,43,12,35,2,0,65+,-0.32,44,0
2023-04-09,Sikar,Clinic,252,77,28,54,21,3,19-35,1.41,73,1
2023-10-26,Sikar,Clinic,158,57,27,38,3,0,36-50,-0.26,52,0
2023-08-11,Alwar,Clinic,87,14,10,25,4,0,0-18,-0.58,13,0
2023-12-19,Sikar,Hospital,46,6,12,10,0,0,0-18,-0.89,10,0
2023-10-04,Bharatpur,Clinic,136,49,28,20,1,0,19-35,0.88,50,1
2023-10-18,Bharatpur,Clinic,102,25,3,13,0,0,36-50,-0.49,28,0
2023-06-22,Sikar,Clinic,110,32,41,6,9,1,19-35,4.33,31,1
2023-03-16,Bikaner,Hospital,269,70,67,67,3,0,19-35,0.67,74,1
2023-07-15,Bharatpur,Clinic,118,21,29,27,7,1,51-65,-0.16,17,0
2023-02-05,Sikar,Clinic,59,26,3,5,4,0,19-35,-0.19,30,0
2023-10-02,Bharatpur,Clinic,236,98,57,65,1,0,36-50,3.67,97,1
2023-12-18,Jaipur,Hospital,196,56,75,3,9,0,65+,0.19,51,0
2023-07-06,Udaipur,Hospital,260,118,68,58,42,1,65+,1.74,121,1
2023-01-18,Udaipur,Hospital,285,82,12,25,12,1,36-50,-0.31,85,0
2023-08-08,Jaipur,Clinic,139,61,37,28,23,3,0-18,0.09,65,0
2023-09-17,Sikar,Clinic,96,33,29,16,5,0,36-50,0.27,28,1
2023-11-09,Bikaner,Clinic,69,6,11,12,1,0,19-35,-0.91,1,0
2023-02-22,Kota,Hospital,39,12,3,9,1,0,0-18,-0.79,13,0
2023-01-05,Udaipur,Hospital,289,143,17,79,18,3,65+,0.74,142,1
2023-06-10,Bikaner,Hospital,238,40,90,70,10,2,19-35,5.67,40,1
2023-03-29,Kota,Hospital,233,41,74,18,0,0,65+,2.42,37,1
2023-10-08,Bikaner,Clinic,166,70,11,4,15,3,51-65,0.75,74,1
2023-03-18,Jaipur,Hospital,123,54,8,2,2,0,65+,-0.11,56,0
2023-11-08,Kota,Hospital,157,34,43,21,3,0,65+,-0.17,36,0
2023-12-11,Bharatpur,Hospital,284,21,80,77,2,0,51-65,-0.79,24,0
2023-12-08,Jaipur,Hospital,97,22,4,9,2,0,0-18,-0.59,24,0
2023-12-06,Ajmer,Clinic,221,80,83,56,4,0,36-50,1.67,79,1
2023-11-16,Bharatpur,Clinic,105,39,14,15,1,0,0-18,0.86,42,1
2023-06-10,Pali,Clinic,298,28,9,74,4,0,0-18,-0.35,23,0
2023-05-21,Alwar,Clinic,46,18,6,5,1,0,36-50,0.29,14,1
2023-03-23,Sikar,Hospital,296,124,90,63,29,3,36-50,2.76,126,1
2023-12-30,Sikar,Clinic,139,47,17,7,5,0,0-18,-0.62,48,0
2023-10-29,Jodhpur,Hospital,261,14,48,51,0,0,36-50,-0.26,11,0
2023-08-02,Jodhpur,Hospital,123,56,39,8,3,0,51-65,3.0,51,1
2023-12-25,Pali,Hospital,129,6,43,19,0,0,0-18,-0.79,6,0
2023-04-11,Alwar,Hospital,287,100,60,23,33,2,19-35,4.56,104,1
2023-01-03,Ajmer,Hospital,180,74,55,14,9,1,0-18,-0.07,73,0
2023-11-29,Udaipur,Clinic,193,38,46,30,10,0,0-18,-0.73,41,0
2023-02-05,Bharatpur,Clinic,84,9,31,12,0,0,65+,-0.77,12,0
2023-07-20,Pali,Clinic,47,19,8,6,3,0,51-65,2.17,15,1
2023-08-07,Kota,Clinic,203,22,72,46,7,1,0-18,-0.35,20,0
2023-01-19,Ajmer,Clinic,275,130,12,75,22,4,51-65,0.76,134,1
2023-12-25,Bikaner,Clinic,196,69,77,54,19,4,65+,-0.01,73,0
2023-07-06,Udaipur,Hospital,50,14,16,9,2,0,65+,-0.63,13,0
2023-08-13,Bikaner,Clinic,72,23,7,14,7,0,36-50,-0.67,26,0
2023-08-03,Kota,Clinic,274,15,21,45,3,0,65+,-0.32,18,0
2023-11-03,Jodhpur,Hospital,203,62,11,54,21,2,36-50,0.11,57,0
2023-02-09,Kota,Clinic,65,30,12,17,7,1,0-18,1.0,25,1
2023-11-12,Pali,Clinic,161,60,8,37,1,0,36-50,2.16,61,1
2023-01-21,Jodhpur,Hospital,228,111,17,12,31,0,0-18,0.79,106,1
2023-04-09,Udaipur,Clinic,215,50,14,6,12,0,0-18,2.57,46,1
2023-10-10,Jodhpur,Clinic,149,49,16,22,1,0,19-35,-0.56,46,0
2023-06-24,Bikaner,Hospital,239,103,61,34,12,2,36-50,3.48,101,1
2023-02-24,Ajmer,Hospital,85,8,26,24,1,0,19-35,-0.94,10,0
2023-02-24,Bikaner,Hospital,68,28,18,17,4,0,19-35,-0.73,24,0
2023-08-28,Udaipur,Clinic,195,10,16,37,3,0,19-35,-0.8,13,0
2023-08-23,Kota,Hospital,35,13,6,2,2,0,0-18,-0.57,10,0
2023-03-31,Pali,Hospital,249,101,92,38,33,2,51-65,0.68,101,1
2023-11-01,Udaipur,Clinic,245,31,67,20,2,0,51-65,2.1,34,1
2023-12-28,Jodhpur,Hospital,140,61,15,4,3,0,19-35,0.24,60,0
2023-03-13,Kota,Hospital,277,76,11,33,29,0,51-65,4.85,75,1
2023-07-29,Jodhpur,Clinic,280,122,87,79,2,0,65+,1.0,118,1
2023-08-02,Pali,Clinic,141,16,37,19,4,0,65+,-0.84,18,0
2023-06-30,Bharatpur,Clinic,57,23,7,15,4,0,19-35,1.56,24,1
2023-01-21,Alwar,Clinic,240,88,47,62,21,4,65+,-0.12,87,0
2023-04-18,Bikaner,Hospital,135,18,19,17,1,0,19-35,-0.36,14,0
2023-01-09,Ajmer,Clinic,215,24,59,34,5,0,0-18,2.0,23,1
2023-05-27,Ajmer,Clinic,185,56,5,12,21,0,51-65,1.33,52,1
2023-11-12,Sikar,Clinic,154,60,6,31,1,0,36-50,0.28,58,1
2023-02-21,Kota,Clinic,213,83,15,49,23,0,65+,0.09,87,0
2023-11-30,Alwar,Hospital,278,47,11,2,2,0,51-65,-0.47,46,0
2023-06-18,Jaipur,Hospital,103,43,36,13,12,0,0-18,0.95,43,1
2023-11-08,Bharatpur,Clinic,126,20,21,12,2,0,36-50,-0.13,17,0
2023-12-07,Ajmer,Clinic,79,36,29,10,11,1,51-65,-0.36,37,0
2023-07-26,Alwar,Clinic,206,13,34,56,3,0,19-35,-0.72,11,0
2023-04-12,Ajmer,Clinic,293,107,14,76,8,0,0-18,1.97,102,1
2023-04-30,Sikar,Hospital,247,93,86,21,30,1,51-65,0.55,96,1
2023-01-08,Alwar,Clinic,111,12,37,25,2,0,36-50,-0.08,13,0
2023-10-20,Udaipur,Hospital,148,68,30,41,25,1,19-35,1.19,68,1
2023-05-30,Jodhpur,Hospital,88,8,23,4,0,0,36-50,-0.93,11,0
2023-07-07,Bharatpur,Hospital,48,18,5,6,4,0,65+,-0.1,20,0
2023-01-13,Sikar,Hospital,240,18,87,48,5,0,51-65,-0.81,15,0
2023-02-06,Udaipur,Clinic,127,24,20,8,1,0,65+,-0.65,23,0
2023-01-02,Bikaner,Hospital,224,25,32,34,1,0,19-35,0.39,27,1
2023-03-17,Bikaner,Hospital,103,39,8,14,10,0,65+,0.56,38,1
2023-02-04,Alwar,Clinic,280,136,109,77,38,9,36-50,10.33,131,1
2023-06-05,Jodhpur,Hospital,179,45,30,9,3,0,65+,4.62,41,1
2023-03-04,Kota,Hospital,37,8,5,8,2,0,0-18,-0.9,11,0
2023-05-17,Ajmer,Clinic,122,42,42,12,7,1,19-35,-0.61,40,0
2023-03-02,Kota,Clinic,231,81,74,9,2,0,19-35,9.12,80,1
2023-08-17,Pali,Hospital,232,93,7,40,26,1,19-35,4.81,96,1
2023-05-19,Kota,Hospital,69,7,3,9,1,0,19-35,-0.91,6,0
2023-01-03,Alwar,Clinic,245,65,91,71,14,1,51-65,-0.52,68,0
2023-05-06,Kota,Hospital,230,21,39,43,1,0,51-65,2.0,16,1
2023-06-21,Jaipur,Clinic,49,19,5,11,6,0,0-18,-0.56,17,0
2023-07-23,Bharatpur,Hospital,204,29,76,15,3,0,36-50,0.61,31,1
2023-03-29,Jodhpur,Clinic,119,58,21,17,11,1,51-65,0.29,54,1
2023-09-07,Kota,Clinic,216,84,6,60,18,2,65+,3.0,87,1
2023-01-08,Bharatpur,Clinic,126,43,34,6,3,0,65+,0.48,46,1
2023-01-31,Sikar,Hospital,57,23,12,15,0,0,36-50,0.28,27,1
2023-07-21,Sikar,Hospital,204,70,57,53,0,0,51-65,2.04,67,1
2023-07-26,Bikaner,Clinic,77,24,16,21,6,0,51-65,-0.38,23,0
2023-07-07,Bikaner,Clinic,46,10,6,2,1,0,65+,-0.58,7,0
2023-02-04,Ajmer,Hospital,78,28,22,3,4,0,36-50,-0.33,32,0
