date,district,avg_temperature,rainfall,humidity,temperature_deviation,rainfall_deviation,weather_risk_index
2023-09-18,Jodhpur,33.06,91.0,76.66,3.06,51.0,0.59
2023-07-25,Ajmer,32.48,110.26,38.65,2.48,70.26,0.48
2023-06-05,Jodhpur,43.01,10.07,42.98,5.51,5.07,0.27
2023-05-26,Alwar,35.09,10.63,68.64,-2.41,5.63,0.34
2023-06-24,Udaipur,42.26,14.78,45.09,4.76,9.78,0.28
2023-02-16,Jaipur,20.1,6.61,41.76,0.1,1.61,0.19
2023-09-06,Alwar,28.52,76.99,88.75,-1.48,36.99,0.58
2023-07-02,Alwar,28.19,97.59,40.35,-1.81,57.59,0.45
2023-03-30,Sikar,43.32,2.83,69.18,5.82,-2.17,0.36
2023-04-16,Jaipur,44.37,14.88,80.42,6.87,9.88,0.45
2023-08-14,Alwar,26.72,8.88,79.66,-3.28,-31.12,0.39
2023-08-21,Jaipur,26.3,14.24,48.09,-3.7,-25.76,0.28
2023-09-13,Bharatpur,30.82,105.47,45.82,0.82,65.47,0.48
2023-12-09,Pali,19.48,8.08,57.28,-0.52,3.08,0.26
2023-05-22,Ajmer,40.65,8.46,54.39,3.15,3.46,0.28
2023-09-01,Bikaner,33.15,111.32,55.65,3.15,71.32,0.56
2023-09-07,Ajmer,33.86,57.34,65.99,3.86,17.34,0.47
2023-04-02,Jodhpur,32.01,7.95,69.2,-5.49,2.95,0.37
2023-04-01,Bikaner,39.67,1.33,50.05,2.17,-3.67,0.23
2023-08-05,Sikar,31.23,50.6,49.2,1.23,10.6,0.35
2023-10-12,Jaipur,26.29,103.18,37.23,-3.71,63.18,0.47
2023-05-07,Ajmer,31.16,6.83,60.2,-6.34,1.83,0.34
2023-12-08,Ajmer,23.63,4.16,86.28,3.63,-0.84,0.4
2023-08-22,Pali,33.49,24.45,86.31,3.49,-15.55,0.46
2023-01-31,Pali,16.86,7.6,39.19,-3.14,2.6,0.22
2023-04-26,Udaipur,37.07,8.12,41.79,-0.43,3.12,0.19
2023-04-20,Bharatpur,32.29,9.44,61.76,-5.21,4.44,0.34
2023-02-17,Pali,18.8,0.01,85.64,-1.2,-4.99,0.36
2023-11-01,Bharatpur,26.27,111.48,51.02,-3.73,71.48,0.55
2023-01-05,Jodhpur,16.12,0.96,43.06,-3.88,-4.04,0.23
2023-12-04,Ajmer,21.67,11.86,53.85,1.67,6.86,0.27
2023-07-15,Jaipur,32.6,102.16,40.36,2.6,62.16,0.47
2023-05-24,Kota,34.43,0.5,73.41,-3.07,-4.5,0.34
2023-12-20,Ajmer,17.87,1.9,65.44,-2.13,-3.1,0.3
2023-01-31,Jodhpur,17.23,12.62,78.91,-2.77,7.62,0.39
2023-05-26,Udaipur,41.0,7.79,35.84,3.5,2.79,0.21
2023-05-06,Bikaner,40.22,9.48,48.67,2.72,4.48,0.26
2023-09-16,Bikaner,30.26,93.74,41.14,0.26,53.74,0.42
2023-10-03,Kota,32.4,117.6,72.62,2.4,77.6,0.64
2023-08-27,Pali,33.38,19.22,57.58,3.38,-20.78,0.33
2023-12-16,Bharatpur,22.65,13.59,48.17,2.65,8.59,0.26
2023-12-09,Jaipur,23.0,10.78,45.03,3.0,5.78,0.25
2023-01-24,Pali,18.02,9.35,75.78,-1.98,4.35,0.35
2023-02-25,Ajmer,24.98,13.37,48.79,4.98,8.37,0.3
2023-10-22,Alwar,26.52,31.0,65.3,-3.48,-9.0,0.39
2023-01-03,Jodhpur,16.06,8.99,62.54,-3.94,3.99,0.33
2023-06-09,Ajmer,43.0,12.03,45.34,5.5,7.03,0.29
2023-03-13,Jaipur,31.58,1.8,70.97,-5.92,-3.2,0.37
2023-11-23,Jaipur,25.4,114.88,42.75,-4.6,74.88,0.54
2023-10-09,Bikaner,31.4,18.28,53.07,1.4,-21.72,0.28
2023-02-08,Kota,24.26,14.21,60.46,4.26,9.21,0.34
2023-06-24,Jaipur,37.91,11.74,56.58,0.41,6.74,0.26
2023-08-22,Udaipur,26.63,103.65,44.37,-3.37,63.65,0.5
2023-01-03,Alwar,18.53,8.72,82.56,-1.47,3.72,0.37
2023-11-14,Pali,27.6,116.78,38.59,-2.4,76.78,0.5
2023-10-14,Bharatpur,27.73,9.74,72.99,-2.27,-30.26,0.35
2023-01-07,Jaipur,15.22,0.47,69.88,-4.78,-4.53,0.34
2023-03-18,Jodhpur,40.36,14.27,74.97,2.86,9.27,0.38
2023-03-25,Pali,36.83,12.25,72.32,-0.67,7.25,0.33
2023-08-14,Ajmer,30.63,56.46,54.29,0.63,16.46,0.38
2023-04-21,Bharatpur,36.52,1.55,73.59,-0.98,-3.45,0.31
2023-05-03,Bharatpur,34.8,6.08,82.41,-2.7,1.08,0.38
2023-09-21,Bharatpur,34.83,119.2,60.93,4.83,79.2,0.63
2023-09-21,Kota,26.1,38.96,73.91,-3.9,-1.04,0.45
2023-03-14,Alwar,43.74,0.15,65.75,6.24,-4.85,0.35
2023-05-10,Alwar,37.92,7.99,76.97,0.42,2.99,0.33
2023-09-25,Kota,25.17,22.97,60.72,-4.83,-17.03,0.37
2023-04-03,Udaipur,38.57,4.93,51.84,1.07,-0.07,0.23
2023-02-11,Bharatpur,21.69,5.07,50.99,1.69,0.07,0.24
2023-12-17,Kota,19.95,1.03,69.48,-0.05,-3.97,0.28
2023-03-01,Jaipur,40.17,12.49,44.95,2.67,7.49,0.25
2023-09-01,Udaipur,33.52,44.8,55.49,3.52,4.8,0.39
2023-09-25,Udaipur,29.61,69.74,35.84,-0.39,29.74,0.33
2023-03-05,Udaipur,42.32,8.7,64.28,4.82,3.7,0.34
2023-08-22,Bikaner,28.98,74.48,69.87,-1.02,34.48,0.49
2023-06-05,Ajmer,35.67,10.65,71.07,-1.83,5.65,0.34
2023-02-14,Bikaner,23.1,0.88,53.16,3.1,-4.12,0.26
2023-06-14,Sikar,44.53,10.77,66.09,7.03,5.77,0.39
2023-07-10,Udaipur,30.89,107.52,52.15,0.89,67.52,0.51
2023-12-24,Sikar,16.1,3.77,43.48,-3.9,-1.23,0.24
2023-11-04,Bikaner,29.5,75.86,82.28,-0.5,35.86,0.54
2023-12-11,Pali,21.11,6.27,75.18,1.11,1.27,0.33
2023-08-15,Kota,30.71,65.55,51.85,0.71,25.55,0.39
2023-04-11,Pali,34.09,2.31,48.64,-3.41,-2.69,0.25
2023-08-01,Jaipur,26.39,109.03,60.15,-3.61,69.03,0.58
2023-04-04,Kota,44.43,6.22,72.03,6.93,1.22,0.4
2023-12-13,Alwar,15.65,9.76,50.54,-4.35,4.76,0.29
2023-02-05,Alwar,22.46,14.35,69.0,2.46,9.35,0.35
2023-01-17,Sikar,16.96,5.92,59.76,-3.04,0.92,0.3
2023-08-03,Alwar,32.34,8.45,43.54,2.34,-31.55,0.23
2023-09-04,Pali,25.4,30.95,49.6,-4.6,-9.05,0.34
2023-10-20,Kota,30.91,16.45,53.58,0.91,-23.55,0.27
2023-04-11,Ajmer,36.18,6.53,60.14,-1.32,1.53,0.28
2023-12-08,Ajmer,19.88,2.37,52.14,-0.12,-2.63,0.22
2023-11-06,Kota,25.75,39.97,45.74,-4.25,-0.03,0.35
2023-01-26,Alwar,23.52,4.0,48.66,3.52,-1.0,0.25
2023-03-25,Alwar,39.4,3.94,48.88,1.9,-1.06,0.23
2023-07-06,Jodhpur,34.79,78.92,53.07,4.79,38.92,0.49
2023-10-06,Jodhpur,28.77,21.85,51.97,-1.23,-18.15,0.28
2023-05-02,Ajmer,38.31,0.59,63.84,0.81,-4.41,0.27
2023-11-14,Pali,32.34,55.14,81.32,2.34,15.14,0.5
2023-12-28,Pali,16.64,7.61,59.83,-3.36,2.61,0.3
2023-03-03,Jodhpur,42.66,1.66,89.01,5.16,-3.34,0.43
2023-06-29,Kota,44.99,4.82,56.15,7.49,-0.18,0.34
2023-05-01,Ajmer,35.25,4.43,35.01,-2.25,-0.57,0.18
2023-08-06,Kota,34.47,96.59,65.64,4.47,56.59,0.58
2023-11-11,Kota,26.21,46.39,66.19,-3.79,6.39,0.44
2023-07-18,Sikar,32.9,56.33,56.49,2.9,16.33,0.41
2023-06-23,Udaipur,41.34,10.17,40.31,3.84,5.17,0.24
2023-02-03,Pali,18.82,13.76,72.75,-1.18,8.76,0.34
2023-05-23,Sikar,37.49,6.43,83.87,-0.01,1.43,0.35
2023-05-08,Jodhpur,40.3,2.33,76.27,2.8,-2.67,0.35
2023-11-01,Kota,32.63,37.94,87.0,2.63,-2.06,0.48
2023-07-29,Sikar,34.26,75.86,39.15,4.26,35.86,0.42
2023-06-10,Sikar,31.93,2.02,55.23,-5.57,-2.98,0.3
2023-06-04,Ajmer,38.28,14.0,44.35,0.78,9.0,0.23
2023-10-30,Bharatpur,28.01,23.97,65.71,-1.99,-16.03,0.35
2023-10-23,Ajmer,31.66,119.5,66.73,1.66,79.5,0.61
2023-10-18,Ajmer,30.51,65.35,40.54,0.51,25.35,0.34
2023-07-06,Pali,33.05,41.16,70.29,3.05,1.16,0.43
2023-08-20,Ajmer,33.48,87.38,71.73,3.48,47.38,0.57
2023-12-17,Jodhpur,17.03,4.67,36.87,-2.97,-0.33,0.2
2023-03-03,Bikaner,37.58,14.22,74.6,0.08,9.22,0.34
2023-12-13,Pali,17.3,9.26,39.39,-2.7,4.26,0.22
2023-12-06,Alwar,20.81,0.54,89.66,0.81,-4.46,0.37
2023-05-26,Sikar,35.81,5.47,43.94,-1.69,0.47,0.21
2023-03-04,Bikaner,33.88,5.28,42.31,-3.62,0.28,0.23
2023-08-22,Jaipur,25.89,22.1,73.4,-4.11,-17.9,0.41
2023-07-09,Ajmer,25.8,73.28,60.01,-4.2,33.28,0.49
2023-06-25,Udaipur,36.0,6.88,51.0,-1.5,1.88,0.24
2023-12-20,Sikar,23.15,5.75,41.91,3.15,0.75,0.22
2023-11-24,Jaipur,33.33,78.96,54.04,3.33,38.96,0.47
2023-04-30,Bharatpur,35.28,14.05,59.22,-2.22,9.05,0.3
2023-02-11,Bharatpur,21.44,11.41,76.89,1.44,6.41,0.36
2023-07-22,Kota,27.69,60.41,68.59,-2.31,20.41,0.47
2023-06-01,Kota,41.87,2.81,50.5,4.37,-2.19,0.27
2023-05-25,Jaipur,37.35,6.99,60.21,-0.15,1.99,0.26
2023-05-01,Kota,37.81,5.51,65.22,0.31,0.51,0.28
2023-05-16,Pali,42.22,11.01,53.5,4.72,6.01,0.31
2023-12-30,Bikaner,15.18,0.49,73.69,-4.82,-4.51,0.36
2023-05-19,Bharatpur,44.47,11.11,84.39,6.97,6.11,0.46
2023-08-02,Pali,34.37,116.49,43.81,4.37,76.49,0.54
2023-12-02,Kota,16.8,9.07,86.6,-3.2,4.07,0.41
2023-04-27,Bharatpur,44.34,12.47,79.16,6.84,7.47,0.44
2023-03-03,Alwar,33.49,7.63,43.99,-4.01,2.63,0.25
2023-05-10,Udaipur,40.07,14.32,83.11,2.57,9.32,0.4
2023-05-14,Jodhpur,33.8,7.32,49.93,-3.7,2.32,0.27
2023-09-19,Bharatpur,30.12,37.6,72.28,0.12,-2.4,0.39
2023-09-15,Jodhpur,26.21,97.27,75.84,-3.79,57.27,0.61
2023-04-27,Jaipur,38.65,6.98,59.39,1.15,1.98,0.27
2023-10-04,Ajmer,31.91,25.31,64.35,1.91,-14.69,0.35
2023-08-23,Udaipur,27.9,110.97,85.67,-2.1,70.97,0.67
2023-01-05,Bikaner,20.38,7.23,52.79,0.38,2.23,0.24
2023-08-31,Kota,30.05,12.99,75.57,0.05,-27.01,0.34
2023-05-19,Bikaner,39.27,7.34,35.76,1.77,2.34,0.19
2023-07-25,Jodhpur,27.91,95.35,35.88,-2.09,55.35,0.43
2023-10-02,Alwar,27.65,116.45,36.11,-2.35,76.45,0.49
2023-11-24,Jodhpur,26.14,71.41,88.86,-3.86,31.41,0.6
2023-08-29,Bikaner,26.48,73.46,68.91,-3.52,33.46,0.52
2023-06-16,Jodhpur,41.22,1.38,44.85,3.72,-3.62,0.23
2023-06-09,Udaipur,41.03,14.55,59.05,3.53,9.55,0.32
2023-06-15,Pali,35.36,7.09,74.44,-2.14,2.09,0.35
2023-08-22,Udaipur,31.17,46.64,84.05,1.17,6.64,0.48
2023-06-05,Bharatpur,35.36,10.19,73.2,-2.14,5.19,0.35
2023-12-19,Jodhpur,20.18,14.81,86.43,0.18,9.81,0.39
2023-03-27,Jodhpur,31.36,1.5,69.52,-6.14,-3.5,0.36
2023-10-17,Jaipur,34.75,88.02,59.81,4.75,48.02,0.54
2023-10-05,Pali,30.7,93.28,69.41,0.7,53.28,0.54
2023-11-13,Jaipur,34.53,105.85,47.04,4.53,65.85,0.53
2023-02-16,Jaipur,22.93,9.33,39.03,2.93,4.33,0.22
2023-10-26,Sikar,26.09,96.81,55.46,-3.91,56.81,0.53
2023-12-12,Alwar,18.62,2.12,53.55,-1.38,-2.88,0.24
2023-12-06,Sikar,18.31,4.17,39.34,-1.69,-0.83,0.19
2023-04-05,Bikaner,44.36,4.6,46.56,6.86,-0.4,0.29
2023-09-28,Bikaner,31.99,118.6,62.58,1.99,78.6,0.59
2023-12-28,Ajmer,15.41,6.21,85.97,-4.59,1.21,0.42
2023-05-06,Udaipur,32.58,12.53,71.29,-4.92,7.53,0.38
2023-09-08,Ajmer,31.2,52.23,78.99,1.2,12.23,0.47
2023-08-07,Ajmer,32.54,35.81,52.93,2.54,-4.19,0.34
2023-02-25,Udaipur,18.31,0.43,76.61,-1.69,-4.57,0.33
2023-12-15,Bikaner,19.94,4.67,42.37,-0.06,-0.33,0.18
2023-02-14,Udaipur,18.73,10.52,66.95,-1.27,5.52,0.31
2023-01-24,Udaipur,21.26,11.29,69.04,1.26,6.29,0.32
2023-11-14,Jaipur,26.85,17.15,35.84,-3.15,-22.85,0.23
2023-11-21,Jaipur,33.75,102.41,64.41,3.75,62.41,0.58
2023-06-19,Bikaner,42.01,8.69,73.81,4.51,3.69,0.38
2023-11-03,Sikar,34.72,50.17,82.33,4.72,10.17,0.53
2023-04-09,Jodhpur,44.37,14.07,85.92,6.87,9.07,0.47
2023-06-01,Bharatpur,33.82,0.27,78.18,-3.68,-4.73,0.36
2023-05-07,Jaipur,32.41,7.84,51.76,-5.09,2.84,0.3
2023-09-03,Alwar,30.47,55.74,38.75,0.47,15.74,0.31
2023-05-30,Udaipur,40.39,10.03,68.56,2.89,5.03,0.34
2023-02-22,Bikaner,19.72,13.65,50.95,-0.28,8.65,0.24
2023-05-29,Bikaner,43.5,3.41,39.4,6.0,-1.59,0.25
2023-04-25,Jaipur,34.75,13.77,89.75,-2.75,8.77,0.43
2023-06-22,Udaipur,32.64,5.83,41.79,-4.86,0.83,0.25
2023-05-14,Udaipur,33.66,6.78,52.37,-3.84,1.78,0.28
2023-07-16,Sikar,33.11,73.55,85.49,3.11,33.55,0.58
2023-10-21,Kota,27.82,27.04,89.96,-2.18,-12.96,0.46
2023-06-12,Udaipur,30.14,5.69,69.24,-7.36,0.69,0.39
2023-09-18,Jaipur,33.22,32.96,60.3,3.22,-7.04,0.37
2023-03-09,Alwar,43.7,2.47,36.0,6.2,-2.53,0.23
2023-10-12,Sikar,28.82,84.48,63.72,-1.18,44.48,0.5
2023-02-05,Udaipur,18.27,7.16,54.81,-1.73,2.16,0.26
2023-07-03,Bikaner,34.56,84.2,56.03,4.56,44.2,0.51
2023-07-27,Pali,25.3,61.9,59.68,-4.7,21.9,0.47
2023-01-01,Alwar,21.52,9.13,66.63,1.52,4.13,0.31
2023-07-27,Sikar,27.04,18.6,86.55,-2.96,-21.4,0.44
2023-03-14,Ajmer,37.98,4.21,75.3,0.48,-0.79,0.32
2023-10-22,Kota,32.74,17.27,87.42,2.74,-22.73,0.43
2023-11-16,Alwar,27.46,83.4,38.99,-2.54,43.4,0.41
2023-01-04,Udaipur,20.94,0.47,50.04,0.94,-4.53,0.21
2023-04-20,Bharatpur,42.78,5.9,57.15,5.28,0.9,0.31
2023-12-05,Jodhpur,22.75,0.55,56.94,2.75,-4.45,0.27
2023-11-13,Udaipur,30.85,97.8,67.05,0.85,57.8,0.54
2023-10-21,Udaipur,30.4,40.79,69.56,0.4,0.79,0.39
2023-07-03,Jaipur,33.65,85.59,48.92,3.65,45.59,0.47
2023-05-24,Pali,31.36,7.24,44.88,-6.14,2.24,0.28
2023-08-23,Bharatpur,33.01,96.47,40.97,3.01,56.47,0.46
2023-09-19,Bikaner,31.08,52.37,58.41,1.08,12.37,0.39
2023-10-30,Kota,30.41,89.25,37.83,0.41,49.25,0.39
2023-09-14,Jodhpur,27.2,15.21,44.03,-2.8,-24.79,0.25
2023-06-29,Jodhpur,34.55,5.09,48.83,-2.95,0.09,0.25
2023-12-19,Udaipur,24.24,8.53,60.38,4.24,3.53,0.32
2023-04-27,Udaipur,40.92,7.71,46.47,3.42,2.71,0.25
2023-02-28,Kota,18.06,8.27,76.08,-1.94,3.27,0.35
2023-09-27,Jodhpur,32.89,69.97,59.86,2.89,29.97,0.46
2023-07-14,Bharatpur,28.13,14.68,71.25,-1.87,-25.32,0.35
2023-03-19,Kota,30.71,0.01,47.34,-6.79,-4.99,0.28
2023-08-08,Jodhpur,25.04,40.0,66.81,-4.96,0.0,0.44
2023-11-25,Ajmer,28.21,64.96,53.05,-1.79,24.96,0.41
2023-03-13,Bharatpur,35.54,0.44,66.71,-1.96,-4.56,0.29
2023-01-31,Bikaner,20.67,5.36,46.59,0.67,0.36,0.21
2023-04-02,Pali,39.98,8.43,53.85,2.48,3.43,0.27
2023-11-06,Bikaner,32.06,117.31,45.06,2.06,77.31,0.52
2023-04-26,Udaipur,41.53,0.37,50.95,4.03,-4.63,0.26
2023-03-24,Jodhpur,42.82,13.35,66.36,5.32,8.35,0.37
2023-11-10,Alwar,29.49,61.92,77.16,-0.51,21.92,0.48
2023-03-11,Pali,34.3,3.15,56.72,-3.2,-1.85,0.28
2023-02-06,Kota,15.61,7.49,86.46,-4.39,2.49,0.42
2023-08-19,Kota,33.93,65.25,63.5,3.93,25.25,0.48
2023-03-29,Udaipur,45.0,13.53,69.9,7.5,8.53,0.42
2023-04-04,Jodhpur,33.69,9.04,58.13,-3.81,4.04,0.31
2023-10-20,Alwar,26.42,114.47,86.55,-3.58,74.47,0.7
2023-04-29,Jaipur,44.26,8.38,40.24,6.76,3.38,0.27
2023-12-21,Alwar,24.77,2.3,83.04,4.77,-2.7,0.4
2023-11-21,Ajmer,34.71,35.92,75.53,4.71,-4.08,0.46
2023-03-23,Jodhpur,31.29,9.88,45.92,-6.21,4.88,0.29
2023-02-10,Ajmer,20.35,11.51,45.03,0.35,6.51,0.22
2023-12-03,Jodhpur,17.29,12.9,85.68,-2.71,7.9,0.41
2023-12-16,Kota,18.8,7.29,48.25,-1.2,2.29,0.23
2023-09-04,Pali,33.69,113.11,35.5,3.69,73.11,0.49
2023-04-08,Jodhpur,34.42,14.3,55.19,-3.08,9.3,0.3
2023-07-31,Bikaner,30.63,20.23,42.79,0.63,-19.77,0.23
2023-06-08,Pali,40.38,2.64,37.64,2.88,-2.36,0.2
2023-04-14,Alwar,36.68,3.37,68.53,-0.82,-1.63,0.29
2023-01-20,Udaipur,21.47,6.78,81.51,1.47,1.78,0.36
2023-07-04,Kota,28.78,108.81,52.13,-1.22,68.81,0.51
2023-02-24,Sikar,20.97,5.94,80.86,0.97,0.94,0.35
2023-06-01,Bikaner,43.35,5.83,59.51,5.85,0.83,0.33
2023-06-11,Pali,31.76,4.91,65.14,-5.74,-0.09,0.35
2023-01-22,Kota,21.26,9.69,44.1,1.26,4.69,0.22
2023-01-24,Ajmer,17.21,12.31,88.29,-2.79,7.31,0.42
2023-03-26,Ajmer,33.59,1.37,58.18,-3.91,-3.63,0.29
2023-02-16,Sikar,23.05,9.97,79.71,3.05,4.97,0.39
2023-02-28,Udaipur,21.6,2.47,69.28,1.6,-2.53,0.31
2023-11-19,Jodhpur,34.59,84.85,56.57,4.59,44.85,0.51
2023-09-21,Bikaner,27.29,66.41,57.77,-2.71,26.41,0.44
2023-07-23,Udaipur,33.23,12.78,73.69,3.23,-27.22,0.37
2023-12-20,Jodhpur,19.16,10.75,48.54,-0.84,5.75,0.23
2023-05-28,Udaipur,33.12,8.96,59.28,-4.38,3.96,0.32
2023-06-11,Udaipur,41.27,13.64,85.89,3.77,8.64,0.43
2023-05-28,Jodhpur,38.68,3.64,60.99,1.18,-1.36,0.27
2023-07-10,Bikaner,26.77,10.9,66.36,-3.23,-29.1,0.34
2023-02-17,Bharatpur,23.0,12.56,42.81,3.0,7.56,0.24
2023-12-17,Bikaner,20.52,11.58,36.82,0.52,6.58,0.19
2023-02-12,Bikaner,21.54,12.07,84.94,1.54,7.07,0.39
2023-02-19,Udaipur,21.16,13.6,54.5,1.16,8.6,0.27
2023-06-05,Sikar,35.09,3.26,36.88,-2.41,-1.74,0.19
2023-10-17,Jodhpur,30.13,21.99,58.07,0.13,-18.01,0.29
2023-08-26,Bikaner,32.44,82.57,59.19,2.44,42.57,0.49
2023-06-29,Udaipur,37.39,0.22,60.79,-0.11,-4.78,0.25
2023-06-01,Kota,30.77,8.49,45.15,-6.73,3.49,0.29
2023-10-02,Udaipur,31.27,107.89,82.84,1.27,67.89,0.64
2023-04-21,Bharatpur,35.66,1.99,61.02,-1.84,-3.01,0.27
2023-05-26,Alwar,33.65,9.58,83.41,-3.85,4.58,0.41
2023-12-18,Alwar,20.55,7.97,70.76,0.55,2.97,0.31
2023-07-25,Udaipur,32.33,36.44,57.3,2.33,-3.56,0.36
2023-05-30,Sikar,35.29,0.61,47.03,-2.21,-4.39,0.22
2023-09-16,Pali,28.09,65.7,48.6,-1.91,25.7,0.4
2023-01-25,Udaipur,21.86,4.49,79.99,1.86,-0.51,0.36
2023-03-26,Alwar,41.22,2.97,59.81,3.72,-2.03,0.3
2023-01-28,Jaipur,20.16,0.33,75.37,0.16,-4.67,0.3
2023-01-06,Udaipur,20.68,14.94,83.8,0.68,9.94,0.38
2023-06-21,Udaipur,32.82,3.57,88.54,-4.68,-1.43,0.43
2023-11-08,Sikar,32.01,50.61,45.21,2.01,10.61,0.34
2023-06-05,Udaipur,31.03,9.81,80.07,-6.47,4.81,0.43
2023-12-13,Bikaner,19.49,9.11,54.17,-0.51,4.11,0.25
2023-06-06,Bikaner,32.8,6.95,89.82,-4.7,1.95,0.44
2023-07-22,Ajmer,34.47,64.03,87.33,4.47,24.03,0.58
2023-04-26,Udaipur,41.39,11.03,80.32,3.89,6.03,0.4
2023-11-20,Sikar,27.05,21.59,67.12,-2.95,-18.41,0.37
2023-02-01,Pali,18.57,12.06,65.25,-1.43,7.06,0.31
2023-10-15,Udaipur,34.11,23.16,68.38,4.11,-16.84,0.39
2023-12-26,Udaipur,23.49,7.08,81.77,3.49,2.08,0.39
2023-07-22,Bikaner,25.43,54.66,89.31,-4.57,14.66,0.56
2023-04-03,Pali,33.31,4.4,79.35,-4.19,-0.6,0.38
2023-09-20,Udaipur,30.69,59.6,57.92,0.69,19.6,0.4
2023-11-26,Bikaner,26.4,79.22,42.18,-3.6,39.22,0.43
2023-11-30,Jaipur,32.31,78.52,58.11,2.31,38.52,0.47
2023-02-09,Pali,21.06,10.09,53.18,1.06,5.09,0.25
2023-11-27,Jodhpur,27.57,82.56,36.52,-2.43,42.56,0.4
2023-07-16,Ajmer,33.69,57.76,51.44,3.69,17.76,0.41
2023-03-13,Kota,31.5,8.15,43.74,-6.0,3.15,0.28
2023-07-22,Bikaner,26.62,94.65,46.1,-3.38,54.65,0.48
2023-08-18,Udaipur,25.37,89.34,72.02,-4.63,49.34,0.59
2023-10-23,Jaipur,31.94,63.24,75.35,1.94,23.24,0.5
2023-05-10,Sikar,30.93,12.99,40.55,-6.57,7.99,0.28
2023-04-29,Jaipur,32.48,1.39,49.57,-5.02,-3.61,0.27
2023-06-23,Pali,31.69,9.24,61.05,-5.81,4.24,0.35
2023-01-10,Ajmer,23.58,2.15,45.52,3.58,-2.85,0.24
2023-04-26,Bharatpur,30.25,1.73,48.27,-7.25,-3.27,0.29
2023-07-07,Jodhpur,29.1,24.28,70.69,-0.9,-15.72,0.36
2023-05-29,Bharatpur,34.33,9.33,68.73,-3.17,4.33,0.34
2023-05-01,Jaipur,41.96,0.8,89.61,4.46,-4.2,0.42
2023-12-26,Bharatpur,20.59,10.62,56.29,0.59,5.62,0.26
2023-11-30,Alwar,30.87,64.01,59.77,0.87,24.01,0.42
2023-04-05,Jaipur,34.23,13.37,39.41,-3.27,8.37,0.24
2023-10-15,Alwar,28.56,117.76,79.14,-1.44,77.76,0.65
2023-11-27,Jodhpur,29.25,14.69,37.45,-0.75,-25.31,0.2
2023-08-07,Jodhpur,31.23,108.84,62.25,1.23,68.84,0.56
2023-07-18,Ajmer,30.0,60.91,76.77,0.0,20.91,0.47
2023-07-11,Kota,25.13,54.02,77.99,-4.87,14.02,0.52
2023-06-23,Bikaner,32.39,7.7,49.01,-5.11,2.7,0.28
2023-02-02,Bharatpur,17.91,4.55,81.44,-2.09,-0.45,0.37
2023-10-26,Bikaner,32.07,108.55,36.19,2.07,68.55,0.46
2023-02-28,Sikar,21.97,1.2,37.4,1.97,-3.8,0.18
2023-10-16,Bharatpur,30.79,31.1,35.04,0.79,-8.9,0.23
2023-10-01,Udaipur,34.13,18.4,57.2,4.13,-21.6,0.33
2023-03-10,Bikaner,38.21,4.46,64.84,0.71,-0.54,0.28
2023-03-02,Ajmer,31.86,3.6,59.1,-5.64,-1.4,0.32
2023-03-31,Bharatpur,40.5,13.12,62.24,3.0,8.12,0.32
2023-12-27,Ajmer,18.69,9.65,88.56,-1.31,4.65,0.4
2023-12-04,Ajmer,15.1,7.72,82.72,-4.9,2.72,0.42
2023-10-15,Bikaner,28.11,81.97,63.33,-1.89,41.97,0.5
2023-02-26,Pali,15.37,9.48,55.92,-4.63,4.48,0.31
2023-05-06,Kota,34.22,4.53,63.42,-3.28,-0.47,0.31
2023-03-03,Kota,40.45,4.77,49.31,2.95,-0.23,0.25
2023-08-18,Sikar,30.37,17.71,83.89,0.37,-22.29,0.39
2023-04-20,Bikaner,42.68,8.77,83.14,5.18,3.77,0.43
2023-06-30,Sikar,40.3,11.44,44.87,2.8,6.44,0.25
2023-01-09,Bikaner,24.72,2.0,36.81,4.72,-3.0,0.22
2023-04-11,Alwar,35.71,6.43,83.05,-1.79,1.43,0.37
2023-06-29,Jodhpur,35.32,12.95,65.47,-2.18,7.95,0.33
2023-01-02,Alwar,20.49,13.05,87.58,0.49,8.05,0.39
2023-06-13,Jodhpur,36.26,12.32,81.77,-1.24,7.32,0.38
2023-03-08,Alwar,43.23,10.19,72.5,5.73,5.19,0.39
2023-06-16,Jodhpur,35.16,11.08,38.3,-2.34,6.08,0.21
2023-02-15,Sikar,23.08,8.91,58.09,3.08,3.91,0.3
2023-03-15,Ajmer,37.49,11.79,83.62,-0.01,6.79,0.37
2023-04-30,Jodhpur,41.28,5.54,48.95,3.78,0.54,0.26
2023-07-22,Jaipur,30.47,88.14,75.95,0.47,48.14,0.55
2023-06-17,Udaipur,42.35,13.85,37.83,4.85,8.85,0.25
2023-03-23,Bharatpur,32.82,8.77,40.64,-4.68,3.77,0.25
2023-09-27,Udaipur,31.58,86.42,52.66,1.58,46.42,0.46
2023-01-28,Ajmer,21.66,7.83,46.81,1.66,2.83,0.23
2023-10-17,Udaipur,28.97,34.5,80.11,-1.03,-5.5,0.43
2023-06-01,Alwar,34.07,12.25,88.26,-3.43,7.25,0.43
2023-10-28,Kota,32.8,66.43,35.65,2.8,26.43,0.36
2023-10-15,Jaipur,32.05,103.39,63.03,2.05,63.39,0.56
2023-04-20,Bikaner,40.62,4.48,38.36,3.12,-0.52,0.21
2023-11-14,Sikar,34.64,19.49,51.3,4.64,-20.51,0.32
